monat_jahr;jahr;monat;altersklasse;geschlecht;staat_d;kreis;quartiergruppe;anzahl
2023-01;2023;1;0-17;M;Ausland;Kreis Ost;Rotmonten;57
2023-01;2023;1;0-17;M;Ausland;Kreis West;Lachen;251
2023-01;2023;1;0-17;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;182
2023-01;2023;1;0-17;M;Schweiz;Kreis Ost;Notkersegg;123
2023-01;2023;1;0-17;M;Schweiz;Kreis West;Bruggen;788
2023-01;2023;1;0-17;M;Schweiz;Kreis West;Winkeln;371
2023-01;2023;1;0-17;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;66
2023-01;2023;1;0-17;W;Ausland;Kreis Centrum;Rosenberg;131
2023-01;2023;1;0-17;W;Ausland;Nicht zuteilbar;nicht zuteilbar;7
2023-01;2023;1;0-17;W;Schweiz;Kreis Centrum;Rosenberg;115
2023-01;2023;1;0-17;W;Schweiz;Kreis Ost;St.Fiden;333
2023-01;2023;1;0-17;W;Schweiz;Kreis West;Bruggen;729
2023-01;2023;1;18-39;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;445
2023-01;2023;1;18-39;M;Ausland;Kreis Centrum;Riethüsli;293
2023-01;2023;1;18-39;M;Ausland;Kreis Centrum;Rosenberg;444
2023-01;2023;1;18-39;M;Ausland;Kreis Centrum;St.Jakob;468
2023-01;2023;1;18-39;M;Schweiz;Kreis Centrum;Riethüsli;598
2023-01;2023;1;18-39;M;Schweiz;Kreis West;Winkeln;456
2023-01;2023;1;18-39;W;Ausland;Kreis Centrum;Innenstadt;232
2023-01;2023;1;18-39;W;Ausland;Kreis Centrum;Rosenberg;331
2023-01;2023;1;18-39;W;Ausland;Kreis Centrum;St.Jakob;282
2023-01;2023;1;18-39;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;626
2023-01;2023;1;18-39;W;Ausland;Kreis West;Lachen;528
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;Innenstadt;534
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;687
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;Riethüsli;585
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;Rosenberg;695
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;St.Jakob;526
2023-01;2023;1;18-39;W;Schweiz;Kreis Ost;Neudorf;805
2023-01;2023;1;40-59;M;Ausland;Kreis Centrum;Riethüsli;184
