measured_at,data,device_id,name,id,location,data_distance,geo_point_2d,color,latitude,longitude,geometry,plot_color,cluster_nr,cluster_ids,cluster_coords,cluster_center
2020-02-24T09:52:09+01:00,"{""foo"": 3}",4f48bac6-9d0e-4879-93ad-5bf39b4c5915,107109 | 67EF,526a0ccc-00ab-4a7f-ac15-ee173dac7360,"{""coordinates"": [9.360562526050046, 47.42575774663251], ""type"": ""Point""}",,"47.42575774663251, 9.360562526050046",b,47.42575774663251,9.360562526050046,POINT (9.360562526050046 47.42575774663251),black,0,"['4f48bac6-9d0e-4879-93ad-5bf39b4c5915', '7d1d7a97-2d16-4ccd-aae6-5cf8ffc2afb7', '2e4a8f6d-d398-4749-bc74-a24efa3f5644']","['47.42575774663251, 9.360562526050046', '47.425772419283504, 9.360595839375634', '47.42574, 9.36053']","(47.425756721972, 9.360562788475226)"
2020-02-24T09:42:33+01:00,"{""foo"": 3}",1e8d1b09-d186-495e-bd1f-cb06afdd5b21,107054 | 2AE2,1e042495-21da-40b4-87cf-5fccba5eb770,"{""coordinates"": [9.34623629581722, 47.419679102687155], ""type"": ""Point""}",,"47.419679102687155, 9.34623629581722",b,47.419679102687155,9.34623629581722,POINT (9.34623629581722 47.419679102687155),brown,1,"['1e8d1b09-d186-495e-bd1f-cb06afdd5b21', 'd4a9fa6b-880c-4d5d-9650-dff9f10c8a5f', '36816c9e-3b69-4b8c-b9f7-150b0edf94db', '11d4bcfe-bde2-42bd-8ebc-43ee77012480']","['47.419679102687155, 9.34623629581722', '47.41962947506508, 9.346404926287022', '47.41958, 9.34634', '47.41960640999497, 9.346374054498114']","(47.4196237469368, 9.346338819150589)"
2020-02-24T09:18:36+01:00,"{""foo"": 3}",473a8148-3001-42ec-946e-55d479bfc9c4,107053 | 667E,67118b4f-5eb2-4f1d-b885-f0f367233e32,"{""coordinates"": [9.333639241159204, 47.40794753166517], ""type"": ""Point""}",,"47.40794753166517, 9.333639241159204",b,47.40794753166517,9.333639241159204,POINT (9.333639241159204 47.40794753166517),black,2,"['473a8148-3001-42ec-946e-55d479bfc9c4', '632c0d31-1145-49b7-b327-952ab64369d2', '96e70afa-3ce0-4674-a331-8b85aed97068']","['47.40794753166517, 9.333639241159204', '47.40792974774064, 9.33352525794038', '47.40798, 9.33388']","(47.407952426468604, 9.333681499699862)"
2020-02-24T08:47:59+01:00,"{""foo"": 3}",75ba05c7-3c77-4160-a72d-8dc15efee2c5,107028 | 4B8D,f3f9b33f-4d63-4fbf-ab16-5994dc651665,"{""coordinates"": [9.299745049950559, 47.403897879985976], ""type"": ""Point""}",,"47.403897879985976, 9.299745049950559",b,47.403897879985976,9.299745049950559,POINT (9.299745049950559 47.403897879985976),brown,3,"['75ba05c7-3c77-4160-a72d-8dc15efee2c5', 'a54a033f-6571-4319-adfe-52e6916be435', '62ec2345-9665-4fd2-9fa7-91ead95dc99b']","['47.403897879985976, 9.299745049950559', '47.403926822207865, 9.299616281067244', '47.40395, 9.29952']","(47.40392490073128, 9.299627110339268)"
2020-02-24T08:44:18+01:00,"{""foo"": 3}",c737f0e5-1838-46ea-8806-89935bd3a560,107128 | 0BCE,eae0f80d-8a79-4a42-a96d-05ed6d4b23a6,"{""coordinates"": [9.379718752363459, 47.41947446440611], ""type"": ""Point""}",,"47.41947446440611, 9.379718752363459",b,47.41947446440611,9.379718752363459,POINT (9.379718752363459 47.41947446440611),brown,4,"['c737f0e5-1838-46ea-8806-89935bd3a560', 'f2aaa75a-0ea0-4e4a-8363-7c7a98c160d9', 'f97fcfd4-a7a8-4839-958a-334d8c02566c']","['47.41947446440611, 9.379718752363459', '47.41948424518952, 9.379746626004248', '47.41949412694035, 9.379779148730364']","(47.419484278845324, 9.379748175699357)"
2020-02-24T04:41:50+01:00,"{""foo"": 3}",ba09e800-34d1-4d0d-8b2b-361aabe93648,107137 | F455,340f6931-164c-4c7f-954c-9e436a36ff96,"{""coordinates"": [9.396058920815904, 47.43096525644364], ""type"": ""Point""}",,"47.43096525644364, 9.396058920815904",b,47.43096525644364,9.396058920815904,POINT (9.396058920815904 47.43096525644364),brown,5,"['ba09e800-34d1-4d0d-8b2b-361aabe93648', '195f9fb4-4486-4b3d-bb41-8a9d7715a931', 'e194deb4-afb0-4c83-aab2-71fcd13ca4e8']","['47.43096525644364, 9.396058920815904', '47.430934861045245, 9.395936346308218', '47.43095608319004, 9.39600777236538']","(47.43095206689298, 9.396001013163167)"
2020-02-24T04:33:20+01:00,"{""foo"": 3}",d8a3a3ca-39d7-46a2-9c50-0b5bc1717979,107063 | 45A5,0d97bd24-f800-4910-bf40-094c0dd2a243,"{""coordinates"": [9.366083419072481, 47.410814618761606], ""type"": ""Point""}",,"47.410814618761606, 9.366083419072481",b,47.410814618761606,9.366083419072481,POINT (9.366083419072481 47.410814618761606),brown,6,"['d8a3a3ca-39d7-46a2-9c50-0b5bc1717979', '8ddb5dd3-0822-485e-aebb-973df12c9dc9', 'cfcfb74d-b13e-43fb-bc59-9eee4f6be818']","['47.410814618761606, 9.366083419072481', '47.410835576995964, 9.366100142591478', '47.41086, 9.36611']","(47.4108367319192, 9.366097853887986)"
2020-02-24T01:36:32+01:00,"{""type"": ""reading"", ""distance"": 688}",624e62e7-2b0b-43dc-a992-77ab95adbbb8,107026 | 67BE,84d62d29-5900-44fa-b814-2441b3b8a003,"{""coordinates"": [9.335980774191682, 47.412065012904804], ""type"": ""Point""}",688.0,"47.412065012904804, 9.335980774191682",b,47.412065012904804,9.335980774191682,POINT (9.335980774191682 47.412065012904804),black,7,"['624e62e7-2b0b-43dc-a992-77ab95adbbb8', '6d43f154-1009-470a-95a2-f40fe4b8a204', 'a3e91e80-9b8d-4bd6-bbd7-011319e05a0c']","['47.412065012904804, 9.335980774191682', '47.41209608066285, 9.33591068841119', '47.41208, 9.33586']","(47.41208036452255, 9.335917154200958)"
2020-02-08T07:06:00+01:00,"{""foo"": 3}",04c14b60-34a4-40ab-aae2-bf4d616eb0d6,104245,d90b4aee-1f8a-4658-8194-42a980c955a0,"{""coordinates"": [9.366346195726692, 47.41631511701729], ""type"": ""Point""}",,"47.41631511701729, 9.366346195726692",b,47.41631511701729,9.366346195726692,POINT (9.366346195726692 47.41631511701729),brown,8,"['04c14b60-34a4-40ab-aae2-bf4d616eb0d6', '286bb721-9cb2-448a-9c2f-aadd4a1bf2d6', 'b5b36857-0f47-4df9-8c8a-0ff431875b18']","['47.41631511701729, 9.366346195726692', '47.41632605209253, 9.36635735487738', '47.41634, 9.36637']","(47.41632705636994, 9.366357850201357)"
2020-07-01T01:45:29+02:00,"{""type"": ""reading"", ""distance"": 752}",ae87483e-d1ed-4169-a05b-5f53d38c7185,107104 | 66E0,362f60b0-0af3-4630-b174-07642e24ba2b,"{""coordinates"": [9.38266400618545, 47.41541198537513], ""type"": ""Point""}",752.0,"47.41541198537513, 9.38266400618545",b,47.41541198537513,9.38266400618545,POINT (9.38266400618545 47.41541198537513),brown,9,"['ae87483e-d1ed-4169-a05b-5f53d38c7185', 'ecadcf7b-cf9e-477c-a56d-99d9472c4072', '7f9cad51-8a0c-4fa9-a6d4-8cf649d819ab']","['47.41541198537513, 9.38266400618545', '47.41538175615662, 9.382737711145921', '47.41539, 9.38269']","(47.415394580510586, 9.382697239110458)"
